Date,Actual Sales,Forecast Sales,Forecast Lower,Forecast Upper
2015-01-01,2069.8700562,,,
2015-01-02,926.8400192600001,,,
2015-01-03,2081.7800255,,,
2015-01-04,2235.75000957,,,
2015-01-05,1610.84002682,,,
2015-01-06,1807.69003669,,,
2015-01-07,2009.8400421,,,
2015-01-08,1049.9500122,,,
2015-01-09,1444.8400268,,,
2015-01-10,1654.80004498,,,
2015-01-11,1911.8300322999999,,,
2015-01-12,2409.8600198,,,
2015-01-13,1464.7700119,,,
2015-01-14,2690.8000335799998,,,
2015-01-15,1549.83002472,,,
2015-01-16,1069.87000276,,,
2015-01-17,2669.7100677999997,,,
2015-01-18,2049.7800293,,,
2015-01-19,979.9500122,,,
2015-01-20,2887.7900353200002,,,
2015-01-21,1839.67002468,,,
2015-01-22,949.9100037000001,,,
2015-01-23,2033.8400383,,,
2015-01-24,1734.8200378,,,
2015-01-25,1039.90000538,,,
2015-01-26,1589.7500113400001,,,
2015-01-27,344.9300003,,,
2015-01-28,809.8900146,,,
2015-01-29,909.9600068,,,
2015-01-30,2040.8900299,,,
2015-01-31,599.93001174,,,
2015-02-01,599.9000091,,,
2015-02-02,2196.85004426,,,
2015-02-03,1385.87002948,,,
2015-02-04,1139.8400040000001,,,
2015-02-05,1523.8600312,,,
2015-02-06,1723.76002687,,,
2015-02-07,1659.79003906,,,
2015-02-08,1027.8900299,,,
2015-02-09,721.9000091,,,
2015-02-10,1712.85002705,,,
2015-02-11,1553.7900352,,,
2015-02-12,1603.8800354,,,
2015-02-13,800.95001222,,,
2015-02-14,653.9400024,,,
2015-02-15,2837.71006786,,,
2015-02-16,1911.85004044,,,
2015-02-17,2375.8700409,,,
2015-02-18,609.9100189000001,,,
2015-02-19,1429.8900071,,,
2015-02-20,1893.81003568,,,
2015-02-21,3463.6000671,,,
2015-02-22,909.85001754,,,
2015-02-23,1669.8400268999999,,,
2015-02-24,1009.9300079,,,
2015-02-25,1783.72002402,,,
2015-02-26,2517.77008064,,,
2015-02-27,1275.87003326,,,
2015-02-28,2211.72001642,,,
2015-03-01,1249.8800048,,,
2015-03-02,2929.6900787,,,
2015-03-03,1249.8200225599999,,,
2015-03-04,4179.64009096,,,
2015-03-05,407.91000362,,,
2015-03-06,2967.7800713799998,,,
2015-03-07,1609.80004116,,,
2015-03-08,2075.75006114,,,
2015-03-09,1649.820015,,,
2015-03-10,1109.8800392599999,,,
2015-03-11,1929.70006556,,,
2015-03-12,2934.75007258,,,
2015-03-13,2554.86005412,,,
2015-03-14,1189.85000998,,,
2015-03-15,2299.7900467,,,
2015-03-16,2041.7800446,,,
2015-03-17,1589.7900467,,,
2015-03-18,599.9599915,,,
2015-03-19,799.9500122,,,
2015-03-20,1766.85003853,,,
2015-03-21,1251.86001592,,,
2015-03-22,2659.76006322,,,
2015-03-23,740.980011,,,
2015-03-24,1044.90001867,,,
2015-03-25,524.93001174,,,
2015-03-26,1314.9200286999999,,,
2015-03-27,989.9500122,,,
2015-03-28,2384.74001301,,,
2015-03-29,1639.8600234599999,,,
2015-03-30,3129.63005446,,,
2015-03-31,929.8900146,,,
2015-04-01,449.93001174,,,
2015-04-02,717.96001436,,,
2015-04-03,2794.7000426,,,
2015-04-04,899.9000091,,,
2015-04-05,1093.89002228,,,
2015-04-06,989.8500290000001,,,
2015-04-07,1084.8900260799999,,,
2015-04-08,1884.81003572,,,
2015-04-09,4069.67009736,,,
2015-04-10,3040.73007206,,,
2015-04-11,339.9600067,,,
2015-04-12,2989.68005746,,,
2015-04-13,2810.78004461,,,
2015-04-14,1659.8400421000001,,,
2015-04-15,1319.88003546,,,
2015-04-16,2224.81005862,,,
